district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
AL-07	AL	07	Rep. Sewell	D	0	23	64	7	52	69.8	28.6	0107
AZ-07	AZ	07	Rep. Gallego	D	0	20	67	6	54	71.8	22.6	0407
AZ-03	AZ	03	Rep. Grijalva	D	0	26	60	8	48	62.4	32.5	0403
AZ-09	AZ	09	Rep. Sinema	D	0	29	55	9	43	54.7	38.4	0409
AZ-01	AZ	01	Rep. O'Halleran	D	0	34	50	11	37	46.6	47.7	0401
CA-13	CA	13	Rep. Lee	D	0	12	77	3	64	87.4	6.8	0613
CA-12	CA	12	Rep. Pelosi	D	0	13	76	3	63	86.2	8.7	0612
CA-37	CA	37	Rep. Bass	D	0	13	76	3	63	85.7	9.6	0637
CA-40	CA	40	Rep. Roybal-Allard	D	0	15	74	4	61	82.2	12.8	0640
CA-44	CA	44	Rep. Barragan	D	0	15	74	4	61	83	12.3	0644
CA-29	CA	29	Rep. Cardenas	D	0	17	71	5	58	77.7	16.8	0629
CA-43	CA	43	Rep. Waters	D	0	17	71	5	58	78.4	16.7	0643
CA-14	CA	14	Rep. Speier	D	0	18	70	5	57	76.9	18.2	0614
CA-17	CA	17	Rep. Khanna	D	0	19	68	5	55	73.9	20.5	0617
CA-18	CA	18	Rep. Eshoo	D	0	19	68	5	55	73.4	20.2	0618
CA-11	CA	11	Rep. DeSaulnier	D	0	20	67	6	54	71.5	22.7	0611
CA-19	CA	19	Rep. Lofgren	D	0	20	67	6	55	72.9	21.5	0619
CA-28	CA	28	Rep. Schiff	D	0	20	67	6	54	72.1	22.3	0628
CA-51	CA	51	Rep. Vargas	D	0	20	67	6	54	71.8	22.8	0651
CA-02	CA	02	Rep. Huffman	D	0	21	65	6	53	69	23.3	0602
CA-05	CA	05	Rep. Thompson	D	0	21	65	6	53	69.2	24.3	0605
CA-06	CA	06	Rep. Matsui	D	0	21	65	6	53	69.2	24.4	0606
CA-15	CA	15	Rep. Swalwell	D	0	21	65	6	53	69.9	24.2	0615
CA-20	CA	20	Rep. Panetta	D	0	21	66	6	53	70.4	23.2	0620
CA-30	CA	30	Rep. Sherman	D	0	22	65	6	52	69.1	25.7	0630
CA-33	CA	33	Rep. Lieu	D	0	22	64	7	51	67.8	26.5	0633
CA-27	CA	27	Rep. Chu	D	0	23	63	7	50	66	28.4	0627
CA-32	CA	32	Rep. Napolitano	D	0	23	63	7	51	66.6	27.7	0632
CA-35	CA	35	Rep. Torres	D	0	23	64	7	51	67.7	26.9	0635
CA-38	CA	38	Rep. Sanchez	D	0	23	63	7	51	67	27.4	0638
CA-46	CA	46	Rep. Correa	D	0	23	63	7	50	66.3	27.9	0646
CA-53	CA	53	Rep. Davis	D	0	24	62	7	49	64.5	29.6	0653
CA-47	CA	47	Rep. Lowenthal	D	0	25	61	8	48	62.6	31	0647
CA-41	CA	41	Rep. Takano	D	0	26	59	8	47	61	33.1	0641
CA-52	CA	52	Rep. Peters	D	0	27	58	8	45	58.1	35.6	0652
CA-16	CA	16	Rep. Costa	D	0	28	57	9	45	58	36.4	0616
CA-24	CA	24	Rep. Carbajal	D	0	28	57	9	44	56.7	36.5	0624
CA-26	CA	26	Rep. Brownley	D	0	28	57	9	45	57.9	36	0626
CA-31	CA	31	Rep. Aguilar	D	0	28	57	9	45	57.7	36.6	0631
CA-09	CA	09	Rep. McNerney	D	0	29	56	9	44	56.6	38	0609
CA-03	CA	03	Rep. Garamendi	D	0	30	54	9	42	53	40.4	0603
CA-07	CA	07	Rep. Bera	D	0	30	54	10	42	52.3	40.9	0607
CA-36	CA	36	Rep. Ruiz	D	0	31	53	10	41	52.2	43.4	0636
CO-01	CO	01	Rep. DeGette	D	0	21	65	6	53	69	23.2	0801
CO-02	CO	02	Rep. Polis	D	0	28	57	9	45	56.2	34.9	0802
CO-07	CO	07	Rep. Perlmutter	D	0	30	54	9	42	51.4	39.4	0807
CT-01	CT	01	Rep. Larson	D	0	27	58	9	45	59.4	36.3	0901
CT-04	CT	04	Rep. Himes	D	0	27	58	9	45	59.6	36.6	0904
CT-03	CT	03	Rep. DeLauro	D	0	30	55	9	43	55.9	40.4	0903
CT-02	CT	02	Rep. Courtney	D	0	33	51	10	39	48.7	45.8	0902
CT-05	CT	05	Rep. Esty	D	0	33	51	10	39	49.9	45.8	0905
DE-00	DE	00	Rep. Blunt Rochester	D	0	31	54	10	42	53.4	41.9	1000
FL-24	FL	24	Rep. Wilson	D	0	16	73	4	60	83	15.3	1224
FL-20	FL	20	Rep. Hastings	D	0	17	71	5	58	80.2	18.1	1220
FL-10	FL	10	Rep. Demings	D	0	26	59	8	47	61.8	34.9	1210
FL-05	FL	05	Rep. Lawson	D	0	27	59	8	46	61.3	35.9	1205
FL-23	FL	23	Rep. Wasserman Schultz	D	0	27	59	8	47	61.9	35.8	1223
FL-14	FL	14	Rep. Castor	D	0	29	56	9	44	57.2	39	1214
FL-21	FL	21	Rep. Frankel	D	0	29	57	9	44	58.6	39.1	1221
FL-09	FL	09	Rep. Soto	D	0	30	54	10	42	54.8	41.9	1209
FL-22	FL	22	Rep. Deutch	D	0	30	55	9	43	56.8	41	1222
