location	population	id
00 Whole country	1363712	00
04 Total for eups	149105	04
05 Total for myeons	228358	05
03 Total for dongs	986249	03
11 Seoul	337116	11
11010 Jongno-gu	15402	11010
1101053 Sajik-dong	808	1101053
1101054 Samcheong-dong	207	1101054
1101055 Buam-dong	855	1101055
1101056 Pyeongchang-dong	805	1101056
1101057 Muak-dong	125	1101057
1101058 Gyonam-dong	179	1101058
1101060 Gahoe-dong	301	1101060
1101061 Jongno 1早2早3早4(ilisamsa)-ga-dong	919	1101061
1101063 Jongno 5早6(oryuk)-ga-dong	623	1101063
1101064 Ihwa-dong	901	1101064
1101067 Changsin 1(il)-dong	1450	1101067
1101068 Changsin 2(i)-dong	2328	1101068
1101069 Changsin 3(sam)-dong	339	1101069
1101070 Sungin 1(il)-dong	617	1101070
1101071 Sungin 2(i)-dong	1017	1101071
1101072 Cheongunhyoja-dong	539	1101072
1101073 Hyehwa-dong	3389	1101073
11020 Jung-gu	10457	11020
1102052 Sogong-dong	479	1102052
1102054 Hoehyeon-dong	889	1102054
1102055 Myeong-dong	715	1102055
1102057 Pil-dong	870	1102057
1102058 Jangchung-dong	948	1102058
1102059 Gwanghui-dong	1176	1102059
1102060 Euljiro-dong	85	1102060
1102065 Sindang 5(o)-dong	519	1102065
1102067 Hwanghak-dong	1154	1102067
1102068 Jungnim-dong	306	1102068
1102069 Sindang-dong	1690	1102069
1102070 Dasan-dong	629	1102070
1102071 Yaksu-dong	431	1102071
1102072 Cheonggu-dong	338	1102072
1102073 Donghwa-dong	228	1102073
11030 Yongsan-gu	15093	11030
1103051 Huam-dong	706	1103051
1103052 Yongsan 2-ga-dong	1341	1103052
1103053 Namyeong-dong	621	1103053
1103057 Wonhyoro 2(i)-dong	230	1103057
1103058 Hyochang-dong	213	1103058
1103059 Yongmun-dong	209	1103059
1103063 Ichon 1(il)-dong	1270	1103063
1103064 Ichon 2(i)-dong	163	1103064
1103065 Itaewon 1(il)-dong	1441	1103065
1103066 Itaewon 2(i)-dong	1390	1103066
1103069 Seobinggo-dong	782	1103069
1103070 Bogwang-dong	1267	1103070
1103071 Cheongpa-dong	1087	1103071
1103072 Wonhyoro 1(il)-dong	570	1103072
1103073 Hangangno-dong	1416	1103073
1103074 Hannam-dong	2387	1103074
11040 Seongdong-gu	9869	11040
1104052 Wangsimni 2(i)-dong	453	1104052
1104054 Majang-dong	767	1104054
1104055 Sageun-dong	1351	1104055
1104056 Haengdang 1(il)-dong	546	1104056
1104057 Haengdang 2(i)-dong	203	1104057
1104058 Eungbong-dong	107	1104058
1104059 Geumho 1(il)-ga-dong	127	1104059
1104062 Geumho 4(sa)-ga-dong	287	1104062
1104065 Seongsu 1(il)-ga1(il)-dong	437	1104065
1104066 Seongsu 1(il)-ga2(i)-dong	622	1104066
1104067 Seongsu 2(i)-ga1(il)-dong	1009	1104067
1104068 Seongsu 2(i)-ga 3(sam)-dong	637	1104068
1104069 Songjeong-dong	642	1104069
1104070 Yongdap-dong	1453	1104070
1104071 WangsimniDoseon-dong	467	1104071
1104072 Geumho 2早3(i早sam)-ga-dong	328	1104072
1104073 Oksu-dong	433	1104073
11050 Gwangjin-gu	17206	11050
1105053 Hwayang-dong	2659	1105053
1105054 Gunja-dong	1643	1105054
1105055 Junggok 1(il)-dong	550	1105055
1105056 Junggok 2(i)-dong	423	1105056
1105057 Junggok 3(sam)-dong	331	1105057
1105058 Junggok 4(sa)-dong	323	1105058
1105059 Neung-dong	418	1105059
1105060 Guui 1(il)-dong	918	1105060
1105061 Guui 2(i)-dong	485	1105061
1105062 Guui 3(sam)-dong	537	1105062
1105063 Gwangjang-dong	308	1105063
1105064 Jayang 1(il)-dong	1495	1105064
1105065 Jayang 2(i)-dong	471	1105065
1105066 Jayang 3(sam)-dong	527	1105066
1105067 Jayang 4(sa)-dong	6118	1105067
11060 Dongdaemun-gu	14830	11060
1106071 Hoegi-dong	1755	1106071
1106072 Hwigyeong 1(il)-dong	1226	1106072
1106073 Hwigyeong 2(i)-dong	530	1106073
1106080 Cheongnyangni-dong	953	1106080
1106081 Yongsin-dong	1906	1106081
1106082 Jegi-dong	1833	1106082
1106083 Jeonnong 1(il)-dong	523	1106083
1106084 Jeonnong 2(i)-dong	706	1106084
1106086 Dapsimni 2(i)-dong	417	1106086
1106087 Jangan 1(il)-dong	711	1106087
1106088 Jangan 2(i)-dong	403	1106088
1106089 Imun 1(il)-dong	2859	1106089
1106090 Imun 2(i)-dong	508	1106090
1106091 Dapsimni 1(il)-dong	500	1106091
11070 Jungnang-gu	5750	11070
1107052 Myeonmok 2(i)-dong	451	1107052
1107054 Myeonmok 4(sa)-dong	327	1107054
1107055 Myeonmok 5(o)-dong	167	1107055
1107057 Myeonmok 7(chil)-dong	372	1107057
1107059 Sangbong 1(il)-dong	195	1107059
1107060 Sangbong 2(i)-dong	480	1107060
1107061 Junghwa 1(il)-dong	188	1107061
1107062 Junghwa 2(i)-dong	844	1107062
1107064 Muk 1(il)-dong	225	1107064
1107065 Muk 2(i)-dong	228	1107065
1107068 Mangu 3(sam)-dong	242	1107068
1107069 Sinnae 1(il)-dong	167	1107069
1107070 Sinnae 2(i)-dong	124	1107070
1107071 Myeonmokbon-dong	861	1107071
1107072 Myeonmok 3早8(sam早pal)-dong	445	1107072
1107073 Mangubon-dong	434	1107073
11080 Seongbuk-gu	11134	11080
1108058 Donam 1(il)-dong	198	1108058
1108059 Donam 2(i)-dong	172	1108059
1108060 Anam-dong	1859	1108060
1108061 Bomun-dong	409	1108061
1108062 Jeongneung 1(il)-dong	201	1108062
1108063 Jeongneung 2(i)-dong	190	1108063
1108064 Jeongneung 3(sam)-dong	1181	1108064
1108065 Jeongneung 4(sa)-dong	356	1108065
1108066 Gireum 1(il)-dong	242	1108066
1108068 Gireum 2(i)-dong	264	1108068
1108071 Wolgok 1(il)-dong	270	1108071
1108072 Wolgok 2(i)-dong	593	1108072
1108076 Jangwi 1(il)-dong	262	1108076
1108077 Jangwi 2(i)-dong	339	1108077
1108078 Jangwi 3(sam)-dong	331	1108078
1108081 Seongbuk-dong	605	1108081
1108082 Samseon-dong	542	1108082
1108083 Dongseon-dong	774	1108083
1108084 Jongam-dong	1460	1108084
1108085 Seokgwan-dong	886	1108085
11090 Gangbuk-gu	4238	11090
1109060 Beon 1(il)-dong	398	1109060
1109061 Beon 2(i)-dong	166	1109061
1109062 Beon 3(sam)-dong	96	1109062
1109063 Suyu 1(il)-dong	268	1109063
1109064 Suyu 2(i)-dong	182	1109064
1109065 Suyu 3(sam)-dong	430	1109065
1109069 Samyang-dong	289	1109069
1109070 Mia-dong	469	1109070
1109071 Songjung-dong	642	1109071
1109072 Songcheon-dong	619	1109072
1109073 Samgaksan-dong	188	1109073
1109074 Ui-dong	185	1109074
1109075 Insu-dong	306	1109075
11100 Dobong-gu	2554	11100
1110051 Ssangmun 1(il)-dong	216	1110051
1110052 Ssangmun 2(i)-dong	171	1110052
1110053 Ssangmun 3(sam)-dong	201	1110053
1110054 Ssangmun 4(sa)-dong	77	1110054
1110055 Banghak 1(il)-dong	297	1110055
1110056 Banghak 2(i)-dong	261	1110056
1110057 Banghak 3(sam)-dong	88	1110057
1110059 Chang 1(il)-dong	201	1110059
1110060 Chang 2(i)-dong	283	1110060
1110061 Chang 3(sam)-dong	151	1110061
1110062 Chang 4(sa)-dong	105	1110062
1110063 Chang 5(o)-dong	164	1110063
1110064 Dobong 1(il)-dong	194	1110064
1110065 Dobong 2(i)-dong	145	1110065
11110 Nowon-gu	4726	11110
1111051 Wolgye 1(il)-dong	406	1111051
1111052 Wolgye 2(i)-dong	305	1111052
1111053 Wolgye 3(sam)-dong	205	1111053
1111056 Gongneung 2(i)-dong	988	1111056
1111058 Hagye 1(il)-dong	481	1111058
1111059 Hagye 2(i)-dong	72	1111059
1111060 Junggyebon-dong	105	1111060
1111061 Junggye 1(il)-dong	128	1111061
1111064 Junggye 4(sa)-dong	99	1111064
1111065 Sanggye 1(il)-dong	207	1111065
1111066 Sanggye 2(i)-dong	187	1111066
1111069 Sanggye 5(o)-dong	202	1111069
1111072 Sanggye 8(pal)-dong	51	1111072
1111073 Sanggye 9(gu)-dong	90	1111073
1111074 Sanggye 10(sip)-dong	90	1111074
1111076 Sanggye 3早4(sam早sa)-dong	236	1111076
1111077 Sanggye 6早7(yuk早chil)-dong	234	1111077
1111078 Junggye 2早3(i早sam)-dong	232	1111078
1111079 Gongneung 1(il)-dong	408	1111079
